,gene,coef,Celltype
754,SHANK2,0.158506600137557,OPC
388,IQCJ-SCHIP1,0.156719848946052,OPC
42,ADGRG1,0.154757788501355,OPC
884,VPS45,0.154035395241191,OPC
468,MERTK,0.153521935398198,OPC
454,MAF,0.153194830637629,OPC
668,RP11-308N19.1,0.153040686194779,OPC
471,MGAT4A,0.151580747320743,OPC
794,SPRED1,-0.151572090326781,OPC
202,CREB1,-0.15405562800453,OPC
89,ATP2B1,-0.156105235574831,OPC
514,NDRG3,-0.156165373914109,OPC
567,PDE4B,-0.158534032753447,OPC
673,RP11-345J4.8,-0.159257812829135,OPC
889,WDR17,-0.162840081822779,OPC
130,CACNG5,-0.167435351310674,OPC
372,HIF3A,-0.167688490711347,OPC
436,LHPP,-0.167802838166714,OPC
728,RUNDC3B,-0.168081566595387,OPC
643,RNF180,-0.169152028436339,OPC
619,PTPRM,-0.169949286068055,OPC
832,TLE1,-0.170600982601147,OPC
128,CACNA1A,-0.170869821234403,OPC
363,GSG1L,-0.171605974245769,OPC
866,TTC39B,-0.1731749310743,OPC
338,GBF1,-0.173836530448867,OPC
45,ADRA1A,-0.17466341025508,OPC
66,ARAP2,-0.17483863030849,OPC
341,GINS3,-0.175829628185746,OPC
666,RP11-278H7.1,-0.176246450376262,OPC
442,LRAT,-0.176446637352852,OPC
865,TSPAN7,-0.176590697025791,OPC
574,PHF6,-0.177457432810769,OPC
603,PRDX4,-0.179874167156834,OPC
719,RPAP1,-0.181725360550891,OPC
151,CD47,-0.182262480894168,OPC
806,SUGP2,-0.182339744605434,OPC
47,AGAP6,-0.182702138263386,OPC
624,RAB31,-0.183263564605002,OPC
773,SLU7,-0.183310584274494,OPC
976,MDFI,-0.183419309575451,OPC
302,FANCC,-0.183851642219171,OPC
107,BRD8,-0.185046308235358,OPC
403,KCNMA1,-0.186154975122395,OPC
198,CPEB4,-0.188727276309172,OPC
303,FBN2,-0.191438092205613,OPC
678,RP11-384J4.2,-0.193248089563197,OPC
335,GALR1,-0.195909533119269,OPC
645,ROBO2,-0.196648322296371,OPC
598,PPM1L,-0.196843129553566,OPC
682,RP11-397E7.6,-0.196989518731344,OPC
101,BEST3,-0.198447460124153,OPC
34,ADAMTS17,-0.198885282391415,OPC
162,CENPP,-0.198996560183745,OPC
432,LBR,-0.199506699499875,OPC
327,FSD2,-0.201070891592866,OPC
58,ANKHD1,-0.20184756222977,OPC
354,GRB10,-0.203744450228486,OPC
813,SYNE2,-0.207682209124973,OPC
775,SMAD5,-0.220289458466443,OPC
519,NEDD4,-0.221313167181297,OPC
79,ASPM,-0.221329818966098,OPC
520,NEK10,-0.221690678203899,OPC
207,CSGALNACT1,-0.22217673545268,OPC
879,UTP23,-0.222400627609924,OPC
548,OSBP2,-0.22260279020149,OPC
33,ADAM33,-0.222653308860995,OPC
572,PEG10,-0.223932165518337,OPC
177,CHST8,-0.224228096422284,OPC
644,RNF24,-0.226146994281773,OPC
53,ALDH1L1,-0.227396784018229,OPC
346,GNAO1,-0.237068310307598,OPC
638,REV3L,-0.23757143516576,OPC
630,RASGEF1B,-0.238567004255774,OPC
96,BAZ1A,-0.244934885188668,OPC
855,TNS3,-0.245727907226465,OPC
30,ACSL3,-0.246568805934971,OPC
475,MIR100HG,-0.246914098593661,OPC
278,EPB41L2,-0.249833170442124,OPC
852,TNKS,-0.251467609008331,OPC
291,FAM111A,-0.252299066329765,OPC
205,CRTAC1,-0.253778157982229,OPC
1,AARS,-0.253958534365095,OPC
172,CHAMP1,-0.259832703096299,OPC
749,SGCB,-0.260605673221912,OPC
282,EPS8,-0.260919422635599,OPC
106,BMPR1B,-0.261855209136212,OPC
618,PTPRJ,-0.262359583803955,OPC
856,TPCN2,-0.268992585358499,OPC
522,NEK5,-0.270638512997311,OPC
36,ADAMTS6,-0.271999564202824,OPC
918,ZNF469,-0.272027955082053,OPC
849,TMTC2,-0.274683680672967,OPC
319,FNDC3B,-0.278903246646304,OPC
786,SOX11,-0.279221261101784,OPC
288,EZH2,-0.279812806078082,OPC
260,DTNA,-0.284781793263663,OPC
310,FGF14,-0.286793421566933,OPC
4,ABCC8,-0.289476151234973,OPC
512,NCOR2,-0.293685246935669,OPC
979,RP11-293N1.1,-0.294982668376649,OPC
472,MGLL,-0.29691933966686,OPC
551,PAK1,-0.29694085793878,OPC
833,TLE2,-0.297396857743794,OPC
815,SYTL4,-0.297581952475103,OPC
524,NFATC2IP,-0.2986825599157,OPC
49,AJAP1,-0.308144248147541,OPC
823,TCF7L2,-0.308842427016333,OPC
331,GABRB2,-0.313601634139086,OPC
477,MIR99AHG,-0.314620896665234,OPC
562,PCNT,-0.314790819948453,OPC
612,PTAFR,-0.316175876533156,OPC
459,MAP7,-0.319517975526847,OPC
69,ARHGAP24,-0.323021044117831,OPC
371,HERC6,-0.323497311686281,OPC
500,NAALADL2,-0.328952638344177,OPC
760,SLC19A2,-0.329620536563239,OPC
928,CA1,-0.332900418418307,OPC
143,CCDC25,-0.335378802794247,OPC
640,RFX3,-0.33689537819152,OPC
844,TMEM214,-0.336987073944568,OPC
447,LRRC1,-0.34403866568786,OPC
104,BIRC2,-0.347563066622271,OPC
19,AC074363.1,-0.349118759351266,OPC
279,EPHA6,-0.35090834117533,OPC
41,ADD3,-0.35178164654726,OPC
401,KCND3,-0.351985707633641,OPC
131,CADM1,-0.35743847101935,OPC
913,ZNF148,-0.359536358267493,OPC
406,KDM4C,-0.361113983792048,OPC
458,MAP4K3,-0.361173416800337,OPC
