"","V1"
"582","CTD-2527I21.11"
"583","CTD-2547E10.2"
"584","CTD-2555K7.2"
"585","CTD-2562J15.6"
"586","CTD-2572N17.1"
"587","CTD-2587H24.10"
"588","CTD-2611K5.6"
"589","CTD-3014M21.4"
"590","CTD-3025N20.2"
"591","CTD-3138B18.5"
"592","CTD-3193K9.4"
"593","CTDSP2"
"594","CTDSPL"
"595","CTNNA2"
"596","CTNNBIP1"
"597","CTNND2"
"598","CTSH"
"599","CTTN"
"600","CUL9"
"601","CXCL12"
"602","CXCL14"
"603","CXorf24"
"604","CYB5B"
"605","CYP2J2"
"606","CYP4F11"
"607","CYP4F3"
"608","CYP4Z1"
"609","CYR61"
"610","CYSTM1"
"611","DAAM1"
"612","DAAM2"
"613","DAB1"
"614","DAB2IP"
"615","DACH1"
"616","DALRD3"
"617","DAPK1"
"618","DAPK3"
"619","DAZAP2"
"620","DBI"
"621","DBNDD1"
"622","DBR1"
"623","DBX2"
"624","DCAF6"
"625","DCC"
"626","DCDC1"
"627","DCLK1"
"628","DCLK2"
"629","DCN"
"630","DCX"
"631","DDB2"
"632","DDIT4"
"633","DDO"
"634","DDR2"
"635","DDX17"
"636","DDX31"
"637","DDX3X"
"638","DDX5"
"639","DEC1"
"640","DEF8"
"641","DENND1B"
"642","DENND4C"
"643","DGCR2"
"644","DGKB"
"645","DGKG"
"646","DGKZ"
"647","DHRS3"
"648","DHTKD1"
"649","DHX34"
"650","DHX38"
"651","DHX58"
"652","DIO2"
"653","DIP2A"
"654","DIRC3"
"655","DISC1"
"656","DISP3"
"657","DIXDC1"
"658","DKK3"
"659","DLG2"
"660","DLGAP1"
"661","DMD"
"662","DNAAF1"
"663","DNAH7"
"664","DNAH9"
"665","DNAJA2"
"666","DNAJB1"
"667","DNAJC21"
"668","DNER"
"669","DNM1L"
"670","DNM3"
"671","DOCK4"
"672","DOCK5"
"673","DOCK7"
"674","DOCK9"
"675","DOK5"
"676","DPP10"
"677","DPP6"
"678","DPY19L1"
"679","DPY19L3"
"680","DPYD"
"681","DPYS"
"682","DPYSL2"
"683","DPYSL3"
"684","DPYSL5"
"685","DRAIC"
"686","DSE"
"687","DST"
"688","DTNA"
"689","DUS2"
"690","DUSP1"
"691","DUSP6"
"692","DVL1"
"693","DYNC1I1"
"694","DYRK3"
"695","DZIP1L"
"696","EBF1"
"697","ECE1"
"698","ECHDC2"
"699","ECHDC3"
"700","ECSIT"
"701","EDIL3"
"702","EDNRA"
"703","EDNRB"
"704","EEPD1"
"705","EFEMP1"
"706","EFHD2"
"707","EFNA5"
"708","EFR3A"
"709","EFR3B"
"710","EGF"
"711","EGFEM1P"
"712","EGFR"
"713","EGLN3"
"714","EGR1"
"715","EHBP1L1"
"716","EHD4"
"717","EIF1"
"718","EIF1AY"
"719","EIF3B"
"720","EIF3E"
"721","EIF4A2"
"722","EIF4G3"
"723","EIF4H"
"724","ELL2"
"725","ELMO1"
"726","ELN"
"727","ELOVL2"
"728","ELOVL5"
"729","ELP4"
"730","EMID1"
"731","EML5"
"732","EML6"
"733","EMP1"
"734","EMX1"
"735","EMX2OS"
"736","ENAH"
"737","ENC1"
"738","ENDOD1"
"739","ENO2"
"740","ENO4"
"741","ENOX2"
"742","ENPP2"
"743","ENPP3"
"744","ENPP4"
"745","ENTPD5"
"746","EP400NL"
"747","EPB41"
"748","EPHA4"
"749","EPHA6"
"750","EPHX1"
"751","EPS15L1"
"752","EPS8"
"753","ERBB4"
"754","ERBIN"
"755","ERC2"
"756","ERCC6"
"757","ERI2"
"758","ERI3"
"759","ERMN"
"760","ESRRA"
"761","ESRRG"
"762","ETNPPL"
"763","ETV1"
"764","ETV5"
"765","ETV6"
"766","EVI5"
"767","EWSR1"
"768","EXO5"
"769","EXOC4"
"770","EXOSC10"
"771","EXPH5"
"772","EXT1"
"773","EYA1"
"774","EYA2"
"775","F3"
"776","F5"
"777","FA2H"
"778","FABP5"
"779","FABP7"
"780","FADS1"
"781","FADS2"
"782","FAHD2CP"
"783","FAM107A"
"784","FAM110B"
"785","FAM117A"
"786","FAM131A"
"787","FAM134B"
"788","FAM13B"
"789","FAM155A"
"790","FAM160B2"
"791","FAM168A"
"792","FAM171A1"
"793","FAM171B"
"794","FAM181B"
"795","FAM184A"
"796","FAM189A2"
"797","FAM19A1"
"798","FAM19A5"
"799","FAM219A"
"800","FAM47E"
"801","FAM47E-STBD1"
"802","FAM49A"
"803","FAM65C"
"804","FAM69A"
"805","FAM83D"
"806","FAP"
"807","FARP1"
"808","FAS"
"809","FAT3"
"810","FAT4"
"811","FBN2"
"812","FBXL16"
"813","FBXL2"
"814","FBXL20"
"815","FBXL4"
"816","FBXL7"
"817","FBXL8"
"818","FBXO15"
"819","FBXO32"
"820","FBXW4"
"821","FBXW7"
"822","FCHO2"
"823","FCHSD2"
"824","FDXR"
"825","FERMT2"
"826","FEZ1"
"827","FGD4"
"828","FGD6"
"829","FGF1"
"830","FGFR2"
"831","FGL1"
"832","FH"
"833","FHIT"
"834","FHL3"
"835","FIGNL1"
"836","FIRRE"
"837","FJX1"
"838","FKBP15"
"839","FKBP5"
"840","FLNA"
"841","FLRT2"
"842","FLVCR1-AS1"
"843","FLYWCH1"
"844","FMN2"
"845","FMNL3"
"846","FMO4"
"847","FN1"
"848","FNBP1"
"849","FNDC3B"
"850","FOLH1"
"851","FOS"
"852","FOSB"
"853","FOXN3"
"854","FOXO1"
"855","FOXO3"
"856","FREM2"
"857","FRG1JP"
"858","FRMD4A"
"859","FRMD5"
"860","FRMPD4"
"861","FRRS1"
"862","FRY"
"863","FSTL4"
"864","FSTL5"
"865","FTCDNL1"
"866","FUBP1"
"867","FUCA1"
"868","FUT8"
"869","FUT9"
"870","FXN"
"871","FXR2"
"872","FYB1"
"873","FYN"
"874","FZD3"
"875","FZD4"
"876","FZD6"
"877","FZD7"
"878","G6PD"
"879","GAB1"
"880","GABBR2"
"881","GABPB1-AS1"
"882","GABRA2"
"883","GABRB1"
"884","GABRD"
"885","GADD45G"
"886","GALNT15"
"887","GALNT16"
"888","GALNT18"
"889","GAN"
"890","GAPDH"
"891","GAREM1"
"892","GARNL3"
"893","GATM"
"894","GATS"
"895","GBP2"
"896","GCC2-AS1"
"897","GCLC"
"898","GEM"
"899","GFAP"
"900","GFRA2"
"901","GGTA1P"
"902","GINS3"
"903","GJC2"
"904","GLCCI1"
"905","GLE1"
"906","GLIDR"
"907","GLIS3"
"908","GLMP"
"909","GLRX3"
"910","GLS"
"911","GLTSCR1"
"912","GLUD1"
"913","GLUL"
"914","GMNN"
"915","GMPPB"
"916","GMPR"
"917","GMPS"
"918","GNA13"
"919","GNA14"
"920","GNAI1"
"921","GNAO1"
"922","GNAQ"
"923","GNB4"
"924","GNG7"
"925","GNL3"
"926","GOLGA5"
"927","GOLGA7"
"928","GOLGB1"
"929","GORASP1"
"930","GPC1"
"931","GPC4"
"932","GPC5"
"933","GPC6"
"934","GPHN"
"935","GPM6A"
"936","GPM6B"
"937","GPR108"
"938","GPR161"
"939","GPR17"
"940","GPR173"
"941","GPR37"
"942","GPR37L1"
"943","GPR75-ASB3"
"944","GPR78"
"945","GPRC5B"
"946","GPT2"
"947","GRAMD1B"
"948","GRAMD2"
"949","GRAMD3"
"950","GRASP"
"951","GREB1"
"952","GRIA1"
"953","GRIA2"
"954","GRIA3"
"955","GRIA4"
"956","GRID2"
"957","GRIK1"
"958","GRIK4"
"959","GRIN1"
"960","GRIN2B"
"961","GRM3"
"962","GRM8"
"963","GS1-124K5.14"
"964","GSE1"
"965","GSN"
"966","GSTM2"
"967","GSTM4"
"968","GSTM5"
"969","GTF2H2D"
"970","GUCA1B"
"971","GUCY1A2"
"972","GUCY1A3"
"973","GUCY2C"
"974","GULP1"
"975","GYG2"
"976","H3F3A"
"977","HACD3"
"978","HADHA"
"979","HADHB"
"980","HAP1"
"981","HAPLN1"
"982","HDAC10"
"983","HDAC4"
"984","HDAC9"
"985","HDX"
"986","HECTD2"
"987","HECW2"
"988","HEG1"
"989","HEPACAM"
"990","HEPH"
"991","HERC2P3"
"992","HHATL"
"993","HHLA2"
"994","HIF1A"
"995","HIF3A"
"996","HIGD2A"
"997","HILPDA"
"998","HIP1"
"999","HIP1R"
"1000","HIST1H1E"
"1001","HIVEP1"
"1002","HIVEP3"
"1003","HK2"
"1004","HKDC1"
"1005","HLTF"
"1006","HMBOX1"
"1007","HMGA2"
"1008","HMGCLL1"
"1009","HMGCS1"
"1010","HMGN3"
"1011","HNRNPA2B1"
"1012","HNRNPLL"
"1013","HNRNPU"
"1014","HOMER1"
"1015","HOMER2"
"1016","HOOK2"
"1017","HOPX"
"1018","HP1BP3"
"1019","HPS4"
"1020","HPSE2"
"1021","HS2ST1"
"1022","HS3ST4"
"1023","HS6ST1"
"1024","HS6ST3"
"1025","HSD17B6"
"1026","HSD17B7P2"
"1027","HSP90AA1"
"1028","HSP90B1"
"1029","HSPA12A"
"1030","HSPA13"
"1031","HSPB1"
"1032","HSPB8"
"1033","HSPE1"
