"","V1"
"730","LPCAT2"
"731","LPIN3"
"732","LPL"
"733","LRMP"
"734","LRP1"
"735","LRP1B"
"736","LRP5"
"737","LRRC16A"
"738","LRRCC1"
"739","LRSAM1"
"740","LSM11"
"741","LTBR"
"742","LY86"
"743","LYVE1"
"744","MACF1"
"745","MAF"
"746","MAFB"
"747","MAGI1"
"748","MALAT1"
"749","MAML2"
"750","MAN1A1"
"751","MAN2A1"
"752","MAN2B1"
"753","MAP2K4"
"754","MAP3K5"
"755","MAP4"
"756","MAP4K3"
"757","MAP4K4"
"758","MAPK3"
"759","MAPKAPK2"
"760","MAPRE2"
"761","MARCH1"
"762","MARCH3"
"763","MARCKS"
"764","MASTL"
"765","MB21D2"
"766","MBNL1"
"767","MBP"
"768","MCC"
"769","MCL1"
"770","MCM5"
"771","MCM6"
"772","MCOLN2"
"773","MDM2"
"774","MECP2"
"775","MED13L"
"776","MEF2A"
"777","MEF2C"
"778","MEF2D"
"779","MEI1"
"780","MERTK"
"781","METTL2A"
"782","MFSD2B"
"783","MGAT1"
"784","MGAT4A"
"785","MGAT5"
"786","MGAT5B"
"787","MGME1"
"788","MIA2"
"789","MIAT"
"790","MICAL1"
"791","MICAL3"
"792","MICU2"
"793","MICU3"
"794","MIEF1"
"795","MIOS"
"796","MIR181A1HG"
"797","MIR181A2HG"
"798","MIR99AHG"
"799","MIS18BP1"
"800","MITF"
"801","MLC1"
"802","MMP2"
"803","MMP26"
"804","MN1"
"805","MOB3A"
"806","MOGAT1"
"807","MORN1"
"808","MOV10"
"809","MPDU1"
"810","MPPED2"
"811","MPRIP"
"812","MPZL1"
"813","MRC1"
"814","MRC2"
"815","MRI1"
"816","MROH7-TTC4"
"817","MRPL40"
"818","MSANTD2"
"819","MSANTD4"
"820","MT-CO1"
"821","MT-ND2"
"822","MT3"
"823","MTCL1"
"824","MTG1"
"825","MTMR3"
"826","MTSS1"
"827","MTUS2"
"828","MXD4"
"829","MYBL1"
"830","MYCBP"
"831","MYCBPAP"
"832","MYH9"
"833","MYL12A"
"834","MYO1E"
"835","MYO1F"
"836","MYO9A"
"837","MYO9B"
"838","MYOF"
"839","MYRIP"
"840","MZT1"
"841","MZT2B"
"842","N4BP2"
"843","NACA"
"844","NAP1L1"
"845","NAP1L5"
"846","NAPA"
"847","NAV2"
"848","NAV3"
"849","NCAM2"
"850","NCAPG"
"851","NCEH1"
"852","NCK2"
"853","NCKAP5"
"854","NCOA3"
"855","NCOA7"
"856","NCRNA00185"
"857","NDFIP2"
"858","NDRG1"
"859","NDUFA8"
"860","NDUFC2-KCTD14"
"861","NEAT1"
"862","NECTIN2"
"863","NF1"
"864","NFASC"
"865","NFAT5"
"866","NFATC2"
"867","NFIA"
"868","NFKBID"
"869","NHLRC2"
"870","NHS"
"871","NHSL1"
"872","NINJ1"
"873","NINJ2"
"874","NIPBL"
"875","NKAIN2"
"876","NKD1"
"877","NKIRAS1"
"878","NLGN4Y"
"879","NLK"
"880","NLRP3"
"881","NOA1"
"882","NOB1"
"883","NOP14"
"884","NOP58"
"885","NORAD"
"886","NOXA1"
"887","NOXRED1"
"888","NPAS1"
"889","NPAS3"
"890","NPAT"
"891","NPDC1"
"892","NPL"
"893","NPM2"
"894","NPTN"
"895","NR4A1"
"896","NR4A2"
"897","NR4A3"
"898","NRDC"
"899","NRP1"
"900","NTM"
"901","NUAK1"
"902","NUDT6"
"903","OAF"
"904","OAZ2"
"905","ODZ4"
"906","OLFML3"
"907","OLMALINC"
"908","OLR1"
"909","OMA1"
"910","OPHN1"
"911","ORC4"
"912","ORMDL1"
"913","OSBPL10"
"914","OSBPL6"
"915","OTOGL"
"916","OTUD5"
"917","OTUD6B"
"918","OXR1"
"919","P2RX7"
"920","P2RY1"
"921","P2RY13"
"922","P3H2"
"923","P3H3"
"924","P3H4"
"925","P4HA1"
"926","P4HTM"
"927","PABPC1"
"928","PACSIN2"
"929","PAF1"
"930","PAG1"
"931","PAPOLG"
"932","PAQR5"
"933","PARP14"
"934","PARVB"
"935","PCBP2"
"936","PCDH10"
"937","PCDH19"
"938","PCDH9"
"939","PCDHA4"
"940","PCDHGA5"
"941","PCDHGB7"
"942","PCED1B"
"943","PCNX2"
"944","PCNX3"
"945","PDCD1LG2"
"946","PDCL2"
"947","PDE1B"
"948","PDE1C"
"949","PDE3A"
"950","PDE3B"
"951","PDE4A"
"952","PDE4D"
"953","PDGFB"
"954","PDK4"
"955","PDLIM5"
"956","PDZD2"
"957","PDZD4"
"958","PEAK1"
"959","PEBP1"
"960","PER1"
"961","PEX5L"
"962","PFKFB3"
"963","PFKP"
"964","PGM5P2"
"965","PHACTR1"
"966","PHC2"
"967","PHF21A"
"968","PHF3"
"969","PHKA1"
"970","PIAS2"
"971","PICALM"
"972","PIEZO2"
"973","PIGO"
"974","PIH1D1"
"975","PIK3AP1"
"976","PIK3C2B"
"977","PIK3R5"
"978","PILRA"
"979","PIP4K2A"
"980","PIP5K1B"
"981","PITPNA"
"982","PITPNM3"
"983","PKD2"
"984","PKIB"
"985","PLA2G7"
"986","PLAA"
"987","PLAC8"
"988","PLAUR"
"989","PLCL1"
"990","PLEKHA8"
"991","PLEKHB1"
"992","PLEKHB2"
"993","PLEKHH1"
"994","PLK3"
"995","PLP1"
"996","PLPPR4"
"997","PLXDC2"
"998","PLXNA2"
"999","PLXND1"
"1000","PMP2"
"1001","PMS1"
"1002","PODXL"
"1003","POFUT2"
"1004","POGZ"
"1005","POLDIP2"
"1006","POLR1E"
"1007","POM121C"
"1008","POMT2"
"1009","POT1"
"1010","POU2F2"
"1011","PP2D1"
"1012","PPARD"
"1013","PPARG"
"1014","PPCS"
"1015","PPFIBP2"
"1016","PPID"
"1017","PPIG"
"1018","PPM1E"
"1019","PPP1R12C"
"1020","PPP1R13L"
"1021","PPP1R26"
"1022","PPP1R8"
"1023","PPP1R9A"
"1024","PPP2R1B"
"1025","PPP2R2B"
"1026","PPP6R2"
"1027","PRAM1"
"1028","PRCP"
"1029","PRDM11"
"1030","PREX1"
"1031","PRKACA"
"1032","PRKAG2"
"1033","PRKAR2A"
"1034","PRKAR2B"
"1035","PRKCA"
"1036","PRKCB"
"1037","PRKCE"
"1038","PRKCH"
"1039","PRKD3"
"1040","PRKRIP1"
"1041","PRKY"
"1042","PROCR"
"1043","PROX1"
"1044","PRRC2C"
"1045","PRRG4"
"1046","PSD3"
"1047","PSMA1"
"1048","PSTPIP2"
"1049","PTAFR"
"1050","PTAR1"
"1051","PTBP3"
"1052","PTGES3"
"1053","PTGS1"
"1054","PTGS2"
"1055","PTH2R"
"1056","PTK2"
"1057","PTP4A1"
"1058","PTP4A2"
"1059","PTPN12"
"1060","PTPN14"
"1061","PTPN18"
"1062","PTPN21"
"1063","PTPRD"
"1064","PTPRE"
"1065","PTPRJ"
"1066","PTPRM"
"1067","PTPRO"
"1068","PTRF"
"1069","QDPR"
"1070","QKI"
"1071","RAB11FIP5"
"1072","RAB20"
"1073","RAB31"
"1074","RAB32"
"1075","RAB39A"
"1076","RAB5A"
"1077","RAB7A"
"1078","RAB7B"
"1079","RABGGTB"
"1080","RAC1"
"1081","RAD51D"
"1082","RADIL"
"1083","RALY"
"1084","RAPGEF1"
"1085","RARRES3"
"1086","RASA1"
"1087","RASAL2"
"1088","RASGRP2"
"1089","RASSF3"
"1090","RAVER1"
"1091","RB1"
"1092","RBBP7"
"1093","RBM47"
"1094","RBMS3"
"1095","RBMX"
"1096","RBPJ"
"1097","RCBTB1"
"1098","RCL1"
"1099","RCN3"
"1100","RCOR1"
"1101","RCSD1"
"1102","RFC2"
"1103","RFX1"
"1104","RGL1"
"1105","RGS18"
"1106","RHBDF2"
"1107","RHPN2"
"1108","RIC3"
"1109","RIF1"
"1110","RILPL2"
"1111","RIN2"
"1112","RIN3"
"1113","RIPK2"
"1114","RIT2"
"1115","RLIM"
"1116","RNASET2"
"1117","RNF122"
"1118","RNF128"
"1119","RNF138"
"1120","RNF144B"
"1121","RNF150"
"1122","RNF181"
"1123","RNF19B"
"1124","RNF6"
"1125","RNPEP"
"1126","ROCK1"
"1127","RP1-146A15.1"
"1128","RP1-167G20.1"
"1129","RP1-234P15.4"
"1130","RP1-249H1.4"
"1131","RP1-78O14.1"
"1132","RP11-1012E15.2"
"1133","RP11-103B5.2"
"1134","RP11-1094M14.11"
"1135","RP11-109A6.5"
"1136","RP11-10J21.2"
"1137","RP11-1134I14.2"
"1138","RP11-116N8.1"
"1139","RP11-118B18.1"
"1140","RP11-123K3.4"
"1141","RP11-134G8.7"
"1142","RP11-139E24.1"
"1143","RP11-13G14.4"
"1144","RP11-145A3.1"
"1145","RP11-148G20.1"
"1146","RP11-148L24.1"
"1147","RP11-156P1.3"
"1148","RP11-15H20.5"
"1149","RP11-15H20.8"
"1150","RP11-166O4.5"
"1151","RP11-175P13.3"
"1152","RP11-187O7.3"
"1153","RP11-210M15.2"
"1154","RP11-226E21.4"
"1155","RP11-231E4.4"
"1156","RP11-256I9.1"
"1157","RP11-259O2.1"
"1158","RP11-260O18.1"
"1159","RP11-267M23.4"
"1160","RP11-268G12.1"
"1161","RP11-268G12.3"
"1162","RP11-274H24.2"
"1163","RP11-286O1.1"
"1164","RP11-30B1.1"
"1165","RP11-30J20.1"
"1166","RP11-314P15.2"
"1167","RP11-317J19.1"
"1168","RP11-321N4.5"
"1169","RP11-322M19.2"
"1170","RP11-323P17.2"
"1171","RP11-335L9.1"
"1172","RP11-340I6.8"
"1173","RP11-357G3.2"
"1174","RP11-360P21.2"
"1175","RP11-369K17.1"
"1176","RP11-370I10.2"
"1177","RP11-373N22.3"
